"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",251,51.095039847817,65,37.1,62.9,NA,NA,73,NA,45.1,28.39,51.8283333333333,51.095039847817,184.8,17.6398341828941,23.6,6.04139281670506
"BILALPOWELL","Bilal Powell","RB","NYJ",252,50.8751734982487,59.8,41.1,42.3,NA,NA,68.7,58.7,45.6,54,52.8285714285714,50.8751734982487,190,10.3036285795229,8,3.51760653180612
"OWENDANIELS","Owen Daniels","TE","BAL",253,50.0498005723114,58.4,49.9,52.1,NA,NA,50.5,34.8,66.2,30.4,48.7628571428572,50.0498005723114,199.5,12.5459156700498,35.6,6.66055785589477
"KRISDURHAM","Kris Durham","WR","DET",254,49.9,65.5,23.2,NA,NA,NA,60.7,32,76.6,28.2,40.76,49.9,NA,22.5744988870185,NA,6.77667448334858
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",255,49.5996995357461,75.1,NA,50,NA,NA,73.5,34.6,37.2,23.7,48.9833333333333,49.5996995357461,NA,21.3032783079663,NA,6.4635897706544
"TOMSAVAGE","Tom Savage","QB","HOU",256,49.3506554912232,53.56,153.66,NA,NA,NA,34.5,NA,NA,30.2,68.13,49.3506554912232,NA,58.0150486224623,NA,15.5052102815323
"ANTHONYFASANO","Anthony Fasano","TE","KC",257,49.3000451409079,56.8,45.8,NA,NA,NA,63.2,44.9,45.4,46.2,50.37,49.3000451409079,NA,7.73108444312095,NA,3.12093902472888
"DAVANTEADAMS","Davante Adams","WR","GB",258,49.2428663804703,86.8,64.5,45.4,NA,NA,44.8,20,78.9,27.1,52.1514285714286,49.2428663804703,176.8,25.2605093640911,11.4,5.71260692945088
"MICHAELBUSH","Michael Bush","RB",NA,259,49.1,NA,NA,NA,NA,NA,NA,NA,49.1,NA,49.1,49.1,NA,NA,NA,NA
"CODYLATIMER","Cody Latimer","WR","DEN",260,48.7499965008812,55.3,42.8,NA,NA,NA,32.5,2.9,63.5,64.4,37.2657142857143,48.7499965008812,179.9,23.4344760271414,32.1,7.63786451419488
"JASONAVANT","Jason Avant","WR","CAR",261,48.425,73.6,38.6,48.1,NA,NA,27.8,37.1,64.7,47.6,48.0657142857143,48.425,NA,16.0691659782982,NA,5.17449755334231
"DANIELTHOMAS","Daniel Thomas","RB","MIA",262,48.4109570675782,45.4,45.2,30.9,NA,NA,59.1,NA,56.9,33.09,44.9516666666667,48.4109570675782,237.5,11.6723612292743,54.5,8.5161397976506
"STEPHENHILL","Stephen Hill","WR","NYJ",263,48.3495846511244,53.3,41,NA,NA,NA,54.5,47.6,65.1,22.1,40.4228571428571,48.3495846511244,178.5,14.6934906222676,3.5,3.59077113025143
"ANDREWQUARLESS","Andrew Quarless","TE","GB",264,47.8000127477976,65.1,38,50.7,NA,NA,58.5,24.7,80.1,20.2,48.1628571428571,47.8000127477976,135,21.8168458285051,0,4.10441782571146
"ROBERTTURBIN","Robert Turbin","RB","SEA",265,47.7497040271759,61,61.8,23.6,NA,NA,65.4,21.5,71.5,24.38,46.7742857142857,47.7497040271759,172.6,22.5954264230197,16.3,5.89338564210094
"KEVINOGLETREE","Kevin Ogletree","WR","DET",266,47.05,42.6,49.8,NA,NA,NA,45.7,NA,NA,NA,46.3666666666667,47.05,NA,3.6115555282085,NA,2.1063538708901
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",267,46.9360829436311,64.2,44.5,NA,NA,NA,36.9,40.2,70.3,13.41,38.5837142857143,46.9360829436311,NA,20.47202033671,NA,6.25886199374918
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",268,46.5501353121969,33.9,14.8,44.6,NA,NA,54.2,46.3,81.6,59.5,47.3171428571429,46.5501353121969,185.7,20.876530454305,6.9,4.70533139063238
"ADRIENROBINSON","Adrien Robinson","TE","NYG",269,46.0001605948565,55.1,59.8,NA,NA,NA,52,44.4,NA,11.89,44.638,46.0001605948565,186,19.1443652284425,8,4.60628442899511
"CHRISPOLK","Chris Polk","RB","PHI",270,45.950013867422,66.4,37.6,33.8,NA,NA,41.8,50.1,42.7,50.51,45.9471428571429,45.950013867422,171.1,10.8098859075077,29.5,5.81316667503451
"AJJENKINS","A.J. Jenkins","WR","KC",271,45.9094268209632,57.6,33.1,44.2,NA,NA,33.9,39.9,57.2,56.13,46.1374285714286,45.9094268209632,NA,10.9231159430248,NA,3.90709390730894
"AUSTINCOLLIE","Austin Collie","WR",NA,272,45.9,NA,NA,NA,NA,NA,NA,NA,45.9,NA,45.9,45.9,NA,NA,NA,NA
"JARVISLANDRY","Jarvis Landry","WR","MIA",273,45.7002186161608,57.5,62.1,59.6,NA,NA,75.5,10.4,27.4,18.1,44.2342857142857,45.7002186161608,235.5,25.2317071879619,48.5,9.56265943041647
"DALLASCLARK","Dallas Clark","TE",NA,274,45.4,NA,NA,NA,NA,NA,NA,NA,45.4,NA,45.4,45.4,NA,NA,NA,NA
"LUKEWILLSON","Luke Willson","TE","SEA",275,45.025,NA,55.7,NA,NA,NA,58.5,38.9,NA,26.6,44.8916666666667,45.025,NA,14.9720573068633,NA,4.90429428661534
"LANCEKENDRICKS","Lance Kendricks","TE","STL",276,44.7501353121969,43.2,47.9,NA,NA,NA,59.6,40.6,49.1,36.8,46.1866666666667,44.7501353121969,NA,7.99474827621233,NA,3.18587591828736
"ROBHOUSLER","Rob Housler","TE","ARI",277,44.2500057911463,55.2,27.6,NA,NA,NA,NA,NA,66.8,28.8,44.6,44.2500057911463,NA,19.5263923959343,NA,6.025966415254
"JOHNCARLSON","John Carlson","TE","ARI",278,44.1004541612325,NA,58,42,NA,NA,25.8,42.6,43.6,49.2,43.1666666666667,44.1004541612325,NA,10.5744345790528,NA,3.82121832720908
"BRANDONLLOYD","Brandon Lloyd","WR","SF",279,43.75,43.1,43.2,NA,NA,NA,51.5,NA,NA,NA,45.9333333333333,43.75,NA,4.82113402980391,NA,2.40425696016781
"PAULRICHARDSON","Paul Richardson","WR","SEA",280,43.6999595747155,66.8,51.5,NA,NA,NA,33.5,NA,33.6,31.1,43.3,43.6999595747155,223,15.4795025759874,44,7.89432261342852
"MATTASIATA","Matt Asiata","RB","MIN",281,43.55,55.6,17.6,32.6,NA,NA,51.5,NA,53.5,44.52,42.4466666666667,43.55,NA,14.8033329580425,NA,4.86273972468834
"TRAVARISCADET","Travaris Cadet","RB","NO",282,43.4995226774491,69.5,59.6,15.8,NA,NA,46,NA,NA,18.81,41.922,43.4995226774491,185,24.0115039095847,9,5.30951077547065
"ACESANDERS","Ace Sanders","WR","JAC",283,43.160870562981,47.6,NA,41.4,NA,NA,43.2,27.9,80.1,21.37,43.7073333333333,43.160870562981,NA,20.4641772373091,NA,6.2569303427336
"BRANDONMYERS","Brandon Myers","TE","TB",284,42.9502699716999,NA,39.9,NA,NA,NA,39.5,46.4,63.2,38,45.39,42.9502699716999,182.5,10.460162522638,15.5,4.31591215295989
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",285,42.5,53.1,NA,NA,NA,NA,-1.2,NA,63,NA,38.3,42.5,NA,34.5642879284385,NA,9.72959997806917
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",286,42.4713263912696,69.5,57.2,35.1,NA,NA,2.9,19.9,NA,39.4,37.0833333333333,42.4713263912696,218.3,24.200055096356,35.1,8.04375228586834
"GAVINESCOBAR","Gavin Escobar","TE","DAL",287,42.4501226917552,46.8,NA,NA,NA,NA,27.5,56.9,43.6,34.9,41.92,42.4501226917552,175,11.2722224960298,14.1,4.2704930942994
"BRANDONBOLDEN","Brandon Bolden","RB","NE",288,42.1500054258512,70.9,15.6,44.6,NA,NA,36.2,36,47.2,39.44,41.3971428571429,42.1500054258512,NA,16.5318319210748,NA,5.28844601842741
"TROYNIKLAS","Troy Niklas","TE","ARI",289,42.0747638314611,NA,NA,NA,NA,NA,52.9,38.9,57.6,11.9,40.325,42.0747638314611,NA,20.5472423129399,NA,6.27738816552795
"RYANGRIFFIN","Ryan Griffin","TE","HOU",290,42.0001665501527,53.5,NA,62,NA,NA,64.5,19.5,43.3,11,42.3,42.0001665501527,NA,22.3915162505803,NA,6.73160829491415
"SANTONIOHOLMES","Santonio Holmes","WR","CHI",291,41.95,NA,45.7,NA,NA,NA,NA,NA,63,17.4,42.0333333333333,41.95,NA,23.0200637126254,NA,6.88641117083658
"DEVINSTREET","Devin Street","WR","DAL",292,41.9,43.1,49.4,NA,NA,NA,41.5,NA,NA,13.8,36.95,41.9,NA,15.8055897285317,NA,5.1095822303913
"MIKEBROWN","Mike Brown","WR","JAC",293,41.8355524090711,37.1,40.9,NA,NA,NA,45.5,NA,45.2,NA,33.54,41.8355524090711,NA,3.98277541420553,NA,2.19778038904826
"QUINTONPATTON","Quinton Patton","WR","SF",294,41.7,54.2,NA,NA,NA,NA,32.8,NA,39.6,NA,42.4833333333333,41.7,NA,10.9343495462693,NA,3.90986059430433
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",295,41.699763411479,59.2,54.6,NA,NA,NA,27.2,47.6,35.8,27.1,41.8366666666667,41.699763411479,NA,13.8953829262337,NA,4.63912371379788
"ANDREBROWN","Andre Brown","RB","HOU",296,41.55,NA,NA,34.2,NA,NA,NA,NA,48.9,NA,41.55,41.55,142.25,10.3944696834422,8.8,3.61188949015466
"DENARDROBINSON","Denard Robinson","WR","JAX",297,41.4503855370601,60.9,42.4,23.3,NA,NA,14.5,72,NA,22.41,38.535,41.4503855370601,NA,23.2454644321568,NA,6.94192436868629
"DAVIDNELSON","David Nelson","WR","NYJ",298,41.0059447779263,53.1,14,NA,NA,NA,40.2,NA,37.5,38.6,30.6116666666667,41.0059447779263,NA,14.148745527431,NA,4.70152355101768
"JARIUSWRIGHT","Jarius Wright","WR","MIN",299,40.7994087575324,46.5,28.6,NA,NA,NA,75.8,7.6,54,31.1,41.2366666666667,40.7994087575324,NA,23.5654832328981,NA,7.0207407408705
"ARRELIOUSBENN","Arrelious Benn","WR","PHI",300,40.4,40.4,NA,NA,NA,NA,NA,NA,NA,NA,40.4,40.4,NA,NA,NA,NA
"PEYTONHILLIS","Peyton Hillis","RB","NYG",301,40.3000056283164,45.8,38.5,28.1,NA,NA,59.8,8.2,NA,49.2,37.9666666666667,40.3000056283164,NA,18.1515472251449,NA,5.68736034453063
"JOEMORGAN","Joe Morgan","WR","NO",302,39.975,39.6,32.6,NA,NA,NA,NA,54.1,NA,NA,42.1,39.975,NA,10.9658560997307,NA,3.91762023916926
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CAR",303,39.8,NA,NA,NA,NA,NA,NA,NA,39.8,NA,39.8,39.8,NA,NA,NA,NA
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",304,39.3001582245938,NA,39.7,NA,NA,NA,34.5,109.3,NA,20.42,50.23,39.3001582245938,NA,39.7239004462888,NA,11.0003438830875
"ALLENHURNS","Allen Hurns","WR","JAC",305,39.3,NA,62.9,NA,NA,NA,NA,NA,NA,15.7,39.3,39.3,NA,33.375440072005,NA,9.43680257083551
"DRIARCHER","Dri Archer","RB","PIT",306,39.1503121677515,48.6,64.1,NA,NA,NA,14.4,25.4,50.2,29.9,32.8514285714286,39.1503121677515,NA,18.5483871715755,NA,5.78509674265158
"JOSEPHFAURIA","Joseph Fauria","TE","DET",307,39.1002993395023,55.1,29.2,NA,NA,NA,73.5,21.5,NA,34.1,42.56,39.1002993395023,NA,21.2605738398567,NA,6.45307222842046
"MIKEJAMES","Mike James","RB","TB",308,38.8847871040872,46,43.7,26.6,NA,NA,31.9,39.6,53.5,27.06,38.2114285714286,38.8847871040872,NA,10.2091294344583,NA,3.73124853115188
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",309,38.875,42.1,22.5,51.3,NA,NA,29.8,16.7,40.2,48.88,35.6628571428571,38.875,198.4,13.2159989622967,22.9,5.42391752221373
"JAREDABBREDERIS","Jared Abbrederis","WR","GB",310,38.7,38.7,NA,NA,NA,NA,NA,NA,NA,NA,38.7,38.7,NA,NA,NA,NA
"BENWATSON","Ben Watson","TE","NO",311,38.35,NA,NA,NA,NA,NA,37.2,39.5,NA,NA,38.35,38.35,NA,1.62634559672906,NA,1.61742308163379
"TJGRAHAM","T.J. Graham","WR","BUF",312,37.875,41.9,NA,NA,NA,NA,27.5,19.6,53.4,NA,35.7416666666667,37.875,NA,15.0348484085031,NA,4.91975889939818
"JONBALDWIN","Jon Baldwin","WR","DET",313,37.75,39.2,NA,NA,NA,NA,NA,NA,36.3,NA,37.75,37.75,NA,2.05060966544099,NA,1.72191367614428
"GRIFFWHALEN","Griff Whalen","WR","IND",314,37.5209001219777,36.4,15.6,NA,NA,NA,55.9,NA,30.5,NA,34.6,37.5209001219777,NA,16.6807274022048,NA,5.32511699410168
"ROBERTMEACHEM","Robert Meachem","WR","NO",315,37.4005422004913,59.1,32.9,NA,NA,NA,39.5,NA,47,8.31,31.2266666666667,37.4005422004913,NA,18.9336399036213,NA,5.87997936405874
"BRYCEBROWN","Bryce Brown","RB","BUF",316,37.3001829460801,56,26.1,49.1,NA,NA,36,33.8,46,32.08,39.3885714285714,37.3001829460801,155.1,10.6853910060597,12.2,4.00087455883397
"JEFFJANIS","Jeff Janis","WR","GB",317,37.1,37.1,NA,NA,NA,NA,NA,NA,NA,NA,37.1,37.1,NA,NA,NA,NA
"MIKELLESHOURE","Mikel Leshoure","RB","DET",318,36.8151681385839,41.2,NA,NA,NA,NA,65.4,11.5,43,8.4,27.8833333333333,36.8151681385839,NA,23.8765575408182,NA,7.09735420349578
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",319,36.7495865745263,37.1,30.7,NA,NA,NA,34.8,30.4,62.5,NA,39.0533333333333,36.7495865745263,NA,13.381890748321,NA,4.51265742333525
"THADLEWIS","Thad Lewis","QB","BUF",320,36.62,27.08,75.52,NA,NA,NA,NA,NA,NA,18.96,40.52,36.62,NA,30.5815892327394,NA,8.74871428644506
"DARICKROGERS","Da'Rick Rogers","WR","IND",321,36.6,33.2,NA,NA,NA,NA,45.6,27.6,37.4,NA,36.0916666666667,36.6,NA,7.58309523435736,NA,3.08449125187885
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",322,36.5876737381754,NA,57.5,41.4,NA,NA,23.5,NA,NA,33.8,39,36.5876737381754,NA,14.3211964118459,NA,4.74399590907306
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",323,36.4927322158862,54.4,39.1,38.4,NA,NA,45.8,24.3,32.8,20.97,36.1728571428571,36.4927322158862,169.8,11.6973678357874,21.5,5.09148936166493
"DUJUANHARRIS","DuJuan Harris","RB","GB",324,36.4624078289286,NA,41.4,NA,NA,NA,42.7,NA,NA,20.97,26.0508333333333,36.4624078289286,NA,12.1878887972172,NA,4.21859063116899
"KIRKCOUSINS","Kirk Cousins","QB","WAS",325,36.3949103425472,44.84,28.76,48.34,NA,NA,18.9,33.46,54.62,21.6,35.6171428571429,36.3949103425472,NA,13.7565250318669,NA,4.60492486217486
"RYANBROYLES","Ryan Broyles","WR","DET",326,35.8428759308175,56.2,31.3,NA,NA,NA,9.1,NA,62.1,14.7,28.9416666666667,35.8428759308175,NA,23.8742958011331,NA,7.09679716710795
"CLAYHARBOR","Clay Harbor","TE","JAC",327,35.35,43.1,NA,NA,NA,NA,34,NA,NA,19.7,32.2666666666667,35.35,NA,11.7959032436407,NA,4.12204980541138
"DONTEMONCRIEF","Donte Moncrief","WR","IND",328,34.9514445443745,54.2,24.6,NA,NA,NA,17.5,5.8,64.9,24.6,31.92,34.9514445443745,183.5,22.7219424052317,7.5,4.99490395469362
"JASONCAMPBELL","Jason Campbell","QB","CIN",329,34.7521002846147,NA,8.04,NA,NA,NA,86.86,16.92,24.62,NA,33.9433333333333,34.7521002846147,NA,35.8132359144865,NA,10.0371992474842
"MARCUSLATTIMORE","Marcus Lattimore","RB","SF",330,34.6623312762009,57,51,18.9,NA,NA,0.1,12.9,47.5,NA,31.2333333333333,34.6623312762009,178.7,23.5658792890625,6.1,4.95341032546325
"JALENSAUNDERS","Jalen Saunders","WR","NYJ",331,34.45,45.4,35,NA,NA,NA,NA,10.4,NA,NA,30.2666666666667,34.45,NA,17.973684467391,NA,5.64355511408676
"MARQUESSWILSON","Marquess Wilson","WR","CHI",332,34.3811684403744,76.2,31.6,NA,NA,NA,32.4,NA,NA,29,42.35,34.3811684403744,NA,22.6465597092951,NA,6.7944221049736
"ANDRECALDWELL","Andre Caldwell","WR","DEN",333,34.3285863426373,57.4,NA,NA,NA,NA,34.4,24.4,29.8,NA,29.245,34.3285863426373,144,14.5203305747493,0,3.20590051898487
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR","PIT",334,34.15,NA,NA,NA,NA,NA,19.1,NA,49.2,NA,34.15,34.15,NA,21.2839141137151,NA,6.45882062728653
"DAVIDAUSBERRY","David Ausberry","TE","OAK",335,33.975,NA,27.3,NA,NA,NA,58.9,42,NA,10.58,34.695,33.975,NA,20.6192814294453,NA,6.29513044131037
"SHAUNHILL","Shaun Hill","QB","STL",336,33.7043924591983,37.46,31,48.44,NA,NA,-1.16,2.16,30.94,NA,24.64,33.7043924591983,NA,19.9085696790771,NA,6.12009159452085
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",337,33.6310475895933,53.5,24.7,27.7,NA,NA,24.5,NA,NA,36.8,33.39,33.6310475895933,178.3,12.2775404703059,13.3,4.31119483322496
"ALFREDBLUE","Alfred Blue","RB","HOU",338,33.4488368690877,34,39,NA,NA,NA,43.8,12.4,NA,28.91,31.472,33.4488368690877,181,12.0958017510209,39.2,6.97906348518451
"WILLISMCGAHEE","Willis McGahee","RB",NA,339,33.2,NA,NA,NA,NA,NA,NA,NA,33.2,NA,33.2,33.2,NA,NA,NA,NA
"VINCENTBROWN","Vincent Brown","WR","SD",340,33.1402196784738,55.2,41.1,32.2,NA,NA,27.7,17.1,65.8,9.46,35.5085714285714,33.1402196784738,NA,20.1076730201611,NA,6.16912809799393
"CHRISOWUSU","Chris Owusu","WR","TB",341,33.0004681901138,NA,33.3,NA,NA,NA,21.2,52.7,31.6,NA,27.77,33.0004681901138,NA,13.1379856396126,NA,4.45258684066614
"LARRYDONNELL","Larry Donnell","TE","NYG",342,32.9,NA,NA,NA,NA,NA,18.2,NA,NA,47.6,32.9,32.9,NA,20.7889393668845,NA,6.33691493369096
"CHRISHOGAN","Chris Hogan","WR","BUF",343,32.85,NA,29.6,NA,NA,NA,NA,NA,NA,36.1,32.85,32.85,NA,4.59619407771256,NA,2.34885724320723
"SHAQEVANS","Shaq Evans","WR","NYJ",344,32.8,59.1,NA,NA,NA,NA,5.1,NA,NA,NA,32.8,32.8,NA,38.1837661840736,NA,10.6210293086211
"BENJAMINWATSON","Benjamin Watson","TE","NO",345,32.4,NA,NA,NA,NA,NA,NA,NA,NA,32.4,32.4,32.4,NA,NA,NA,NA
"SANTANAMOSS","Santana Moss","WR","WAS",346,32.2640964566255,52.2,35.7,NA,NA,NA,41.2,15.5,36.8,12.79,32.125,32.2640964566255,NA,15.2963051094047,NA,4.98415220566827
"BRUCEELLINGTON","Bruce Ellington","WR","SF",347,32.1,NA,NA,NA,NA,NA,21.5,NA,42.7,NA,32.1,32.1,NA,14.9906637611548,NA,4.90887680871425
"LAVONBRAZILL","LaVon Brazill","WR",NA,348,32,NA,NA,NA,NA,NA,NA,NA,32,NA,32,32,NA,NA,NA,NA
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",349,31.925,NA,25.9,NA,NA,NA,37.3,NA,38.6,NA,34.0333333333333,31.925,NA,6.98736955751829,NA,2.93777194489849
"CHRISTIANPONDER","Christian Ponder","QB","MIN",350,31.73,NA,NA,NA,NA,NA,16.4,NA,47.06,NA,31.73,31.73,NA,21.6798939111795,NA,6.55634518216299
