"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,4882,44,14,-13,1,NA,0,0,1,0,349.98
"DREWBREES","Drew Brees","QB","NO",2,2,4998,38,12,43,1,NA,0,0,1,0,340.22
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,4497,35,10,282,2,NA,0,0,0,0,340.08
"ANDREWLUCK","Andrew Luck","QB","IND",4,4,4315,28,11,344,3,NA,0,0,1,0,317
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",5,5,3955,23,11,590,3,NA,0,0,2,0,309.2
"CAMNEWTON","Cam Newton","QB","CAR",6,6,3701,25,12,521,5,NA,0,0,1,0,308.14
"NICKFOLES","Nick Foles","QB","PHI",7,7,4286,30,13,185,2,NA,0,0,2,0,299.94
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",8,8,4852,31,16,55,1,NA,0,0,1,0,299.58
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,9,3536,26,11,491,4,NA,0,0,1,0,298.54
"TOMBRADY","Tom Brady","QB","NE",10,10,4697,30,12,28,1,NA,0,0,0,0,292.68
"RUSSELLWILSON","Russell Wilson","QB","SEA",11,11,3677,25,11,475,3,NA,0,0,0,0,290.58
"TONYROMO","Tony Romo","QB","DAL",12,12,4322,33,12,68,0,NA,0,0,0,0,287.68
"MATTRYAN","Matt Ryan","QB","ATL",13,13,4677,30,13,64,0,NA,0,0,0,0,287.48
"JAYCUTLER","Jay Cutler","QB","CHI",14,14,4001,30,15,155,1,NA,0,0,2,0,275.54
"PHILIPRIVERS","Philip Rivers","QB","SD",15,15,4258,31,12,17,0,NA,0,0,0,0,272.02
"ALEXSMITH","Alex Smith","QB","KC",16,16,3731,24,12,365,2,NA,0,0,1,0,271.74
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",17,17,3805,25,13,278,2,NA,0,0,2,0,270
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",18,18,4299,28,14,100,0,NA,0,0,1,0,267.96
"ANDYDALTON","Andy Dalton","QB","CIN",19,19,4080,28,15,150,1,NA,0,0,0,0,266.2
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",20,20,3988,25,13,203,2,NA,0,0,0,0,265.82
"CARSONPALMER","Carson Palmer","QB","ARI",21,21,4235,31,17,19,0,NA,0,0,0,0,261.3
"JAKELOCKER","Jake Locker","QB","TEN",22,22,3531,21,12,359,4,NA,0,0,0,0,261.14
"ADRIANPETERSON","Adrian Peterson","RB","MIN",1,23,0,0,0,1495,13,NA,165,2,1,3,252
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,24,0,0,0,1342,8,NA,554,2,2,1,251.6
"JAMAALCHARLES","Jamaal Charles","RB","KC",3,25,0,0,0,1188,9,NA,570,3,0,2,243.8
"EJMANUEL","EJ Manuel","QB","BUF",23,26,3403,18,15,420,3,NA,0,0,1,0,240.12
"SAMBRADFORD","Sam Bradford","QB","STL",24,27,3590,27,14,81,1,NA,0,0,1,0,239.7
"MATTFORTE","Matt Forte","RB","CHI",4,28,0,0,0,1165,8,NA,562,3,2,2,238.7
"CALVINJOHNSON","Calvin Johnson","WR","DET",1,28,0,0,0,0,0,NA,1607,13,1,1,238.7
"JOEFLACCO","Joe Flacco","QB","BAL",25,30,4010,23,16,99,1,NA,0,0,1,0,238.3
"EDDIELACY","Eddie Lacy","RB","GB",5,31,0,0,0,1306,11,NA,280,2,0,1,234.6
"ELIMANNING","Eli Manning","QB","NYG",26,32,4119,24,15,31,0,NA,0,0,0,0,233.86
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",6,33,0,0,0,1230,11,NA,342,2,0,2,231.2
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,34,0,0,0,8,0,NA,1395,13,1,1,218.3
"AJGREEN","A.J. Green","WR","CIN",3,35,0,0,0,0,0,NA,1443,12,0,0,216.3
"DEZBRYANT","Dez Bryant","WR","DAL",4,36,0,0,0,12,0,NA,1399,13,0,2,215.1
"ARIANFOSTER","Arian Foster","RB","HOU",7,37,0,0,0,1243,8,NA,385,1,1,2,214.8
"MONTEEBALL","Montee Ball","RB","DEN",8,38,0,0,0,1250,11,NA,208,1,0,2,213.8
"LEVEONBELL","Le'Veon Bell","RB","PIT",9,39,0,0,0,1074,9,NA,422,2,0,1,213.6
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",10,40,0,0,0,929,9,NA,502,3,0,1,213.1
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",11,41,0,0,0,1208,7,NA,361,2,0,2,206.9
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",5,42,0,0,0,0,0,NA,1310,12,1,1,203
"JULIOJONES","Julio Jones","WR","ATL",6,43,0,0,0,21,0,NA,1405,10,0,0,202.6
"DOUGMARTIN","Doug Martin","RB","TB",12,44,0,0,0,1088,8,NA,374,1,0,2,196.2
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,45,0,0,0,0,0,NA,1145,13,0,0,192.5
"REGGIEBUSH","Reggie Bush","RB","DET",13,46,0,0,0,962,6,NA,462,3,0,2,192.4
"ALFREDMORRIS","Alfred Morris","RB","WAS",14,47,0,0,0,1299,9,NA,84,1,0,3,192.3
"ANDREELLINGTON","Andre Ellington","RB","ARI",15,48,0,0,0,1045,5,NA,531,1,0,1,191.6
"JORDYNELSON","Jordy Nelson","WR","GB",7,49,0,0,0,0,0,NA,1300,10,0,0,190
"ANTONIOBROWN","Antonio Brown","WR","PIT",8,50,0,0,0,34,0,NA,1345,9,0,1,189.9
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",9,51,0,0,0,70,0,NA,1286,9,1,2,187.6
"ZACSTACY","Zac Stacy","RB","STL",16,52,0,0,0,1150,9,NA,164,1,0,2,187.4
"GENOSMITH","Geno Smith","QB","NYJ",27,53,2787,15,12,274,2,NA,0,0,0,0,186.88
"RASHADJENNINGS","Rashad Jennings","RB","NYG",17,54,0,0,0,971,8,NA,334,1,0,0,184.5
"RYANMATHEWS","Ryan Mathews","RB","SD",18,55,0,0,0,1232,7,NA,159,1,0,2,183.1
"VINCENTJACKSON","Vincent Jackson","WR","TB",10,56,0,0,0,12,0,NA,1190,10,1,0,182.2
"ANDREJOHNSON","Andre Johnson","WR","HOU",10,56,0,0,0,0,0,NA,1342,8,1,1,182.2
"CJSPILLER","C.J. Spiller","RB","BUF",19,58,0,0,0,995,7,NA,305,2,0,2,180
"RANDALLCOBB","Randall Cobb","WR","GB",12,59,0,0,0,173,1,NA,1120,8,0,2,179.3
"PIERREGARCON","Pierre Garcon","WR","WAS",13,60,0,0,0,13,0,NA,1316,8,0,1,178.9
"FRANKGORE","Frank Gore","RB","SF",20,61,0,0,0,1085,8,NA,200,1,0,2,178.5
"JOSHMCCOWN","Josh McCown","QB","TB",28,62,3101,16,13,103,1,NA,0,0,0,0,178.34
"VICTORCRUZ","Victor Cruz","WR","NYG",14,63,0,0,0,0,0,NA,1182,10,0,0,178.2
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",15,64,0,0,0,149,2,NA,1027,8,0,0,177.6
"KEENANALLEN","Keenan Allen","WR","SD",16,65,0,0,0,0,0,NA,1189,10,0,1,176.9
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",17,66,0,0,0,0,0,NA,1158,10,1,1,175.8
"TOBYGERHART","Toby Gerhart","RB","JAX",21,67,0,0,0,1031,7,NA,284,1,0,2,175.5
"MATTSCHAUB","Matt Schaub","QB","OAK",29,68,3122,17,12,31,0,NA,0,0,1,0,173.98
"MICHAELCRABTREE","Michael Crabtree","WR","SF",18,69,0,0,0,0,0,NA,1160,9,0,0,170
"BISHOPSANKEY","Bishop Sankey","RB","TEN",22,70,0,0,0,914,6,NA,322,2,0,1,169.6
"RODDYWHITE","Roddy White","WR","ATL",19,71,0,0,0,0,0,NA,1101,10,0,1,168.1
"WESWELKER","Wes Welker","WR","DEN",20,72,0,0,0,0,0,NA,1116,10,0,2,167.6
"JOIQUEBELL","Joique Bell","RB","DET",23,73,0,0,0,800,6,NA,403,2,0,1,166.3
"CHRISJOHNSON","Chris Johnson","RB","NYJ",24,74,0,0,0,984,5,NA,270,2,0,2,163.4
"SHANEVEREEN","Shane Vereen","RB","NE",25,75,0,0,0,642,4,NA,654,2,0,2,161.6
"RAYRICE","Ray Rice","RB","BAL",26,76,0,0,0,786,6,NA,369,2,1,2,161.5
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",30,77,2098,14,9,244,2,NA,0,0,1,0,160.32
"TRENTRICHARDSON","Trent Richardson","RB","IND",27,78,0,0,0,800,7,NA,352,1,0,2,159.2
"BENTATE","Ben Tate","RB","CLE",28,79,0,0,0,896,8,NA,193,1,0,2,158.9
"PERCYHARVIN","Percy Harvin","WR","SEA",21,80,0,0,0,177,2,NA,935,6,0,1,157.2
"DESEANJACKSON","DeSean Jackson","WR","WAS",22,81,0,0,0,22,0,NA,1017,9,0,1,155.9
"MICHAELFLOYD","Michael Floyd","WR","ARI",23,82,0,0,0,0,0,NA,1074,8,0,1,153.4
"MIKEWALLACE","Mike Wallace","WR","MIA",23,82,0,0,0,43,0,NA,1071,7,0,0,153.4
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",29,84,0,0,0,734,8,NA,266,1,0,1,152
"KENDALLWRIGHT","Kendall Wright","WR","TEN",25,84,0,0,0,0,0,NA,1060,8,0,1,152
"TORREYSMITH","Torrey Smith","WR","BAL",26,86,0,0,0,0,0,NA,1099,7,0,0,151.9
"MICHAELVICK","Michael Vick","QB","NYJ",31,87,1987,9,9,398,2,NA,0,0,1,0,151.28
"BRANDINCOOKS","Brandin Cooks","WR","NO",27,88,0,0,0,0,0,NA,906,10,0,0,150.6
"JULIANEDELMAN","Julian Edelman","WR","NE",27,88,0,0,0,22,0,NA,1064,7,1,1,150.6
"LAMARMILLER","Lamar Miller","RB","MIA",30,90,0,0,0,850,7,NA,195,1,0,1,150.5
"ERICDECKER","Eric Decker","WR","NYJ",29,91,0,0,0,0,0,NA,1023,8,1,1,150.3
"TYHILTON","T.Y. Hilton","WR","IND",29,91,0,0,0,12,0,NA,971,9,0,1,150.3
"BRIANHOYER","Brian Hoyer","QB","CLE",32,93,2262,16,7,29,1,NA,0,0,0,0,149.38
"STEVENJACKSON","Steven Jackson","RB","ATL",31,94,0,0,0,858,6,NA,247,1,0,2,148.5
"MATTCASSEL","Matt Cassel","QB","MIN",33,95,2478,13,8,68,1,NA,0,0,0,0,147.92
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",2,96,0,0,0,0,0,NA,873,10,0,0,147.3
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",31,97,0,0,0,20,0,NA,949,9,0,2,146.9
"JULIUSTHOMAS","Julius Thomas","TE","DEN",3,98,0,0,0,0,0,NA,868,10,0,0,146.8
"FREDJACKSON","Fred Jackson","RB","BUF",32,99,0,0,0,769,6,NA,297,1,0,1,146.6
"CHADHENNE","Chad Henne","QB","JAX",34,100,2702,15,15,55,0,NA,0,0,0,0,143.58
"DWAYNEBOWE","Dwayne Bowe","WR","KC",32,101,0,0,0,0,0,NA,988,7,1,0,142.8
"REGGIEWAYNE","Reggie Wayne","WR","IND",33,102,0,0,0,0,0,NA,998,7,1,1,141.8
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",34,103,0,0,0,0,0,NA,1017,7,0,1,141.7
"RILEYCOOPER","Riley Cooper","WR","PHI",35,104,0,0,0,5,0,NA,1020,6,1,0,140.5
"PIERRETHOMAS","Pierre Thomas","RB","NO",33,105,0,0,0,642,4,NA,401,2,0,0,140.3
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",34,106,0,0,0,790,5,NA,241,1,0,0,139.1
"MARQUESCOLSTON","Marques Colston","WR","NO",36,107,0,0,0,0,0,NA,1007,7,0,2,138.7
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",35,108,2530,13,11,67,0,NA,0,0,0,0,137.9
"GOLDENTATE","Golden Tate","WR","DET",37,109,0,0,0,10,0,NA,943,7,0,0,137.3
"DANNYWOODHEAD","Danny Woodhead","RB","SD",35,110,0,0,0,380,3,NA,510,5,0,0,137
"SAMMYWATKINS","Sammy Watkins","WR","BUF",38,111,0,0,0,26,0,NA,941,7,0,1,136.7
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",39,112,0,0,0,40,0,NA,920,7,0,1,136
"DARRENSPROLES","Darren Sproles","RB","PHI",36,113,0,0,0,340,2,NA,620,5,0,2,134
"VERNONDAVIS","Vernon Davis","TE","SF",4,114,0,0,0,0,0,NA,819,9,0,1,133.9
"BERNARDPIERCE","Bernard Pierce","RB","BAL",37,115,0,0,0,715,6,NA,190,1,0,0,132.5
"JASONWITTEN","Jason Witten","TE","DAL",5,116,0,0,0,0,0,NA,978,6,0,1,131.8
"TERRANCEWEST","Terrance West","RB","CLE",38,117,0,0,0,750,5,NA,199,1,0,0,130.9
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",40,118,0,0,0,7,0,NA,960,6,0,1,130.7
"STEVANRIDLEY","Stevan Ridley","RB","NE",39,119,0,0,0,800,8,NA,84,0,0,3,130.4
"JORDANCAMERON","Jordan Cameron","TE","CLE",6,120,0,0,0,0,0,NA,880,7,1,1,130
"MARKINGRAM","Mark Ingram","RB","NO",40,121,0,0,0,732,6,NA,200,0,0,0,129.2
"DENNISPITTA","Dennis Pitta","TE","BAL",7,121,0,0,0,0,0,NA,872,7,0,0,129.2
"JORDANREED","Jordan Reed","TE","WAS",8,123,0,0,0,0,0,NA,850,7,1,0,129
"JUSTINHUNTER","Justin Hunter","WR","TEN",41,124,0,0,0,0,0,NA,943,6,0,1,128.3
"TAVONAUSTIN","Tavon Austin","WR","STL",42,125,0,0,0,131,2,NA,767,5,0,2,127.8
"BRIANHARTLINE","Brian Hartline","WR","MIA",42,125,0,0,0,0,0,NA,978,5,0,0,127.8
"DARRENMCFADDEN","Darren McFadden","RB","OAK",41,127,0,0,0,702,4,NA,315,1,0,2,127.7
"RUEBENRANDLE","Rueben Randle","WR","NYG",44,128,0,0,0,0,0,NA,950,6,0,2,127
"MIKEEVANS","Mike Evans","WR","TB",45,129,0,0,0,0,0,NA,806,8,0,1,126.6
"ANDREWILLIAMS","Andre Williams","RB","NYG",42,130,0,0,0,500,9,NA,120,2,0,1,126
"ANQUANBOLDIN","Anquan Boldin","WR","SF",46,131,0,0,0,7,0,NA,910,6,0,1,125.7
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",43,132,0,0,0,670,3,NA,301,2,0,1,125.1
"GREGOLSEN","Greg Olsen","TE","CAR",9,132,0,0,0,0,0,NA,851,7,0,1,125.1
"CARLOSHYDE","Carlos Hyde","RB","SF",44,134,0,0,0,670,7,NA,120,1,0,1,125
"DANNYAMENDOLA","Danny Amendola","WR","NE",47,135,0,0,0,9,0,NA,890,6,0,1,123.9
"HAKEEMNICKS","Hakeem Nicks","WR","IND",48,136,0,0,0,0,0,NA,865,6,0,0,122.5
"DOUGBALDWIN","Doug Baldwin","WR","SEA",49,137,0,0,0,13,0,NA,849,6,0,0,122.2
